i,y_true,y_pred,proba
0,0,1,0.9
1,0,0,0.0999999999999999
2,0,0,0.0999999999999999
3,0,0,0.0999999999999999
4,0,0,0.0999999999999999
5,0,1,0.9
6,0,0,0.0999999999999999
7,0,1,0.9
8,0,0,0.0999999999999999
9,0,0,0.0999999999999999
10,0,0,0.0999999999999999
11,0,0,0.0999999999999999
12,0,0,0.0999999999999999
13,0,0,0.0999999999999999
14,0,0,0.0999999999999999
15,0,0,0.0999999999999999
16,0,0,0.0999999999999999
17,0,1,0.9
18,1,0,0.0999999999999999
19,0,1,0.9
20,0,1,0.9
21,0,0,0.0999999999999999
22,0,0,0.0999999999999999
23,0,0,0.0999999999999999
24,0,0,0.0999999999999999
25,1,0,0.0999999999999999
26,0,0,0.0999999999999999
27,0,0,0.0999999999999999
28,0,0,0.0999999999999999
29,0,0,0.0999999999999999
30,0,1,0.9
31,0,0,0.0999999999999999
32,0,0,0.0999999999999999
33,0,0,0.0999999999999999
34,1,1,0.9
35,0,0,0.0999999999999999
36,0,0,0.0999999999999999
37,1,0,0.0999999999999999
38,1,1,0.9
39,0,0,0.0999999999999999
40,0,0,0.0999999999999999
41,1,1,0.9
42,0,0,0.0999999999999999
43,0,0,0.0999999999999999
44,0,0,0.0999999999999999
45,0,0,0.0999999999999999
46,0,0,0.0999999999999999
47,0,0,0.0999999999999999
48,0,1,0.9
49,1,0,0.0999999999999999
50,0,0,0.0999999999999999
51,1,0,0.0999999999999999
52,1,1,0.9
53,0,0,0.0999999999999999
54,0,0,0.0999999999999999
55,0,0,0.0999999999999999
56,0,1,0.9
57,0,0,0.0999999999999999
58,0,1,0.9
59,1,0,0.0999999999999999
60,0,0,0.0999999999999999
61,1,0,0.0999999999999999
62,0,0,0.0999999999999999
63,1,1,0.9
64,0,0,0.0999999999999999
65,0,0,0.0999999999999999
66,0,0,0.0999999999999999
67,0,1,0.9
68,0,0,0.0999999999999999
69,0,0,0.0999999999999999
70,0,0,0.0999999999999999
71,0,0,0.0999999999999999
72,0,0,0.0999999999999999
73,0,0,0.0999999999999999
74,0,0,0.0999999999999999
75,0,0,0.0999999999999999
76,0,0,0.0999999999999999
77,0,0,0.0999999999999999
78,0,0,0.0999999999999999
79,0,0,0.0999999999999999
80,1,0,0.0999999999999999
81,1,1,0.9
82,1,0,0.0999999999999999
83,0,1,0.9
84,0,1,0.9
85,0,0,0.0999999999999999
86,0,0,0.0999999999999999
87,0,0,0.0999999999999999
88,0,0,0.0999999999999999
89,0,0,0.0999999999999999
90,0,1,0.9
91,1,1,0.9
92,1,0,0.0999999999999999
93,0,0,0.0999999999999999
94,0,0,0.0999999999999999
95,0,1,0.9
96,0,0,0.0999999999999999
97,0,0,0.0999999999999999
98,0,0,0.0999999999999999
99,0,0,0.0999999999999999
100,0,0,0.0999999999999999
101,0,0,0.0999999999999999
102,0,0,0.0999999999999999
103,0,0,0.0999999999999999
104,0,1,0.9
105,0,1,0.9
106,0,1,0.9
107,0,0,0.0999999999999999
108,0,0,0.0999999999999999
109,0,0,0.0999999999999999
110,0,0,0.0999999999999999
111,1,1,0.9
112,0,0,0.0999999999999999
113,0,0,0.0999999999999999
114,0,0,0.0999999999999999
115,0,0,0.0999999999999999
116,0,0,0.0999999999999999
117,0,0,0.0999999999999999
118,0,1,0.9
119,1,1,0.9
120,1,1,0.9
121,0,0,0.0999999999999999
122,0,0,0.0999999999999999
