ts,service,label_fault,is_anomaly,regime,regime_name,metrics.req_rate,metrics.err_rate,metrics.p50_latency,metrics.p99_latency,metrics.cpu,metrics.mem,metrics.gc_pause,metrics.threads,metrics.mem_baseline_1h,logs.log_volume,logs.error_logs,logs.warn_logs,logs.request_logs,traces.trace_count,traces.mean_span_ms,traces.p99_span_ms,traces.error_spans,events.oomkilled,events.crashloop,events.pod_restarts,events.unhealthy
10.0,gateway-service,latency_spike,1,0,R0 baseline,20.123151739085014,0.35753597286569766,0.08759133708370388,0.46411041165942113,0.13779494875122839,156327128.42709118,0.05760830584954001,46.38588823058876,180000000.0,126.19903126651157,1.674706619831575,0.5293138282522618,15.830547146106081,17.80180108719041,39113.86197977502,252422.32710902405,0.22026652931187007,0.0,0.0,0.0,0.0
10.0,movie-service,normal,0,0,R0 baseline,28.043561338689823,0.17037991640043987,0.03591661326124387,0.19639563519500872,0.23938380340042764,223200832.39408082,0.05068818589475391,25.141637976644684,180000000.0,91.13861172695681,1.322946039097964,1.5636580734263525,24.558456459488063,27.476593965412608,33140.151100267554,234006.91513048962,0.32773120305724607,0.0,0.0,0.0,0.0
10.0,actor-service,normal,0,0,R0 baseline,25.13101442840236,0.3415595252849346,0.014901569057542521,0.07097345839852764,0.21309893627861876,211452569.9279775,0.07332964778359195,36.53913356786835,180000000.0,137.61230228285874,0.0,3.233116855472463,8.917680679812719,14.387143036800087,37893.67904421753,165773.1253112672,0.15883523259196156,0.0,0.0,0.0,0.0
10.0,review-service,normal,0,0,R0 baseline,13.595843192761595,0.4234088461952171,0.025251532160030257,0.07398100111429483,0.36193191077431197,218794312.27922937,0.037186363477673796,28.325060833074357,180000000.0,87.61494331948585,1.093173662227728,3.361920146641739,15.171947401206205,21.17608986589901,39127.95358954551,152045.22788289472,0.17303523641120377,0.0,0.0,0.0,0.0
10.0,user-service,cpu_saturation,1,0,R0 baseline,25.51895718190702,0.1291249188170537,0.0268396303578258,0.2580879253142973,0.8322919637605464,137677585.9288302,0.07136556407915422,32.04151736220614,180000000.0,32.70420765276623,1.0050196916162892,1.6537746538341331,16.96113656912996,27.396982511493498,43348.871193633975,104886.73741559827,4.397013511912632,0.0,0.0,0.0,0.0
10.0,search-service,normal,0,0,R0 baseline,11.65587249517802,0.3604081635097375,0.006614547534378411,0.2877846102190168,0.31587704855487253,236126434.75832915,0.05126299980921391,9.150597482360169,180000000.0,134.2166203659216,1.2419130995651875,1.43011627214422,11.45558520508769,12.940767160995819,39362.87580266056,110849.24394099334,0.2121398297736585,0.0,0.0,0.0,0.0
10.0,recommendation-service,normal,0,0,R0 baseline,4.200418264632972,0.2176493934817174,0.027803062470983714,0.12654804236078174,0.35929920450850317,110434525.02521923,0.05186062930427528,20.490347628558666,180000000.0,113.3475226179803,1.2825053766730115,3.5999581528116034,20.228404015184246,16.457485638028366,2444.7226230116758,154693.1660015895,0.10502991409245324,0.0,0.0,0.0,0.0
10.0,auth-service,normal,0,0,R0 baseline,27.696364219944833,0.3911991693116466,0.03680804359281508,0.09758459439842572,0.27671727635384963,237853826.63501662,0.07287142571978188,52.09621791794228,180000000.0,203.0978044188054,0.4756893003664622,1.0585723516917285,15.278538977429825,25.072160807913775,36445.955182135716,244789.92100506905,0.18664045074633012,0.0,0.0,0.0,0.0
10.0,catalog-service,normal,0,0,R0 baseline,20.344159335923266,0.3777816452483664,0.026122237394635737,0.14126658728592537,0.23173645886253977,64823228.505541496,0.07138056260675817,28.214082625363893,180000000.0,163.3999266906111,1.521627247310748,2.5675995096952176,18.62147939983673,10.582513888203419,27518.680484006232,267710.1381983906,0.159151980438744,0.0,0.0,0.0,0.0
20.0,gateway-service,latency_spike,1,0,R0 baseline,20.354292118809294,0.13941690967820095,0.055111154078484166,0.2264373829471873,0.21002858025405163,126310167.71687709,0.0654887224631424,34.820371350351245,180000000.0,120.20105305736558,1.181873599411167,3.2595570688222955,21.172092631260284,19.285554340534546,58669.08310088874,333987.2038904578,0.17310310498375575,0.0,0.0,0.0,0.0
